time step, id0, role0, type0, x0, y0, present0, id1, role1, type1, x1, y1, present1, id2, role2, type2, x2, y2, present2, id3, role3, type3, x3, y3, present3, id4, role4, type4, x4, y4, present4, id5, role5, type5, x5, y5, present5, id6, role6, type6, x6, y6, present6, id7, role7, type7, x7, y7, present7, id8, role8, type8, x8, y8, present8, id9, role9, type9, x9, y9, present9
-1000, 1, others, car, 0.8693362901196594, -4.197670832102173, 1, 2, others, car, 18.616014709992207, 11.957544117307386, 1, 3, others, car, 33.74644711759006, -20.858975932190738, 1, 4, others, car, 24.493322659315925, 0.051333289810072014, 1, 5, others, car, 19.3788714252802, -3.8859304268682004, 1, 6, agent, car, -1.9754464636783806, 0.000518787685535517, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-900, 1, others, car, 0.9364055109887237, -4.200263053546939, 1, 2, others, car, 18.620579521465643, 11.692581549203503, 1, 3, others, car, 33.69179304407426, -20.495043339190143, 1, 4, others, car, 25.437568334603668, 0.09717109844537347, 1, 5, others, car, 20.164488134084078, -3.859427844951425, 1, 6, agent, car, -1.7654087731505241, 0.0009293455252512989, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-800, 1, others, car, 1.0044745113658629, -4.202834276534944, 1, 2, others, car, 18.62520732830869, 11.424619642575268, 1, 3, others, car, 33.6381807469796, -20.13308930674917, 1, 4, others, car, 26.383834567364104, 0.14205112448566232, 1, 5, others, car, 20.952083403447578, -3.831883486613389, 1, 6, agent, car, -1.5553710826226677, 0.0013399033649670808, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-700, 1, others, car, 1.0705439527268477, -4.205447496436242, 1, 2, others, car, 18.629940127434285, 11.151658838406519, 1, 3, others, car, 33.584610446798024, -19.773134833324587, 1, 4, others, car, 27.3341209166135, 0.1860153648441218, 1, 5, others, car, 21.74165723337082, -3.8032973518543183, 1, 6, agent, car, -1.3483117321625162, 0.0006876863270026332, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-600, 1, others, car, 1.136613394087714, -4.208060716337316, 1, 2, others, car, 18.63684047322854, 10.870741795086204, 1, 3, others, car, 33.532165916863946, -19.41915803849194, 1, 4, others, car, 28.28840638389534, 0.2300635990284905, 1, 5, others, car, 22.53520918286973, -3.7736274437609216, 1, 6, agent, car, -1.1432729391752874, 0.0009932518841596107, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-500, 1, others, car, 1.2016830559406142, -4.210694934694922, 1, 2, others, car, 18.642951024079945, 10.579805958228103, 1, 3, others, car, 33.48088915409, -19.07315848126763, 1, 4, others, car, 29.249711306190378, 0.27325904290063047, 1, 5, others, car, 23.33473881096093, -3.7428317654203513, 1, 6, agent, car, -0.9412334847122925, 0.0012358220714886563, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-400, 1, others, car, 1.2657529382854398, -4.213350151509287, 1, 2, others, car, 18.650334334374367, 10.275893986221272, 1, 3, others, car, 33.43080115693293, -18.736135941159617, 1, 4, others, car, 30.219035463006698, 0.3156226949169613, 1, 5, others, car, 24.138267557084326, -3.7119520932534216, 1, 6, agent, car, -0.7441719293332782, 0.00037362046818167037, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-300, 1, others, car, 1.3288230411219535, -4.216026366779964, 1, 2, others, car, 18.65803262151681, 9.956985321592795, 1, 3, others, car, 33.381964920762584, -18.41108975669236, 1, 4, others, car, 31.198378413360693, 0.35719655199044154, 1, 5, others, car, 24.948752762851676, -3.678925872874702, 1, 6, agent, car, -0.5511304904432321, 0.0004272045469314277, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-200, 1, others, car, 1.3908723659940838, -4.217723800999204, 1, 2, others, car, 18.667087661928402, 9.62110140378327, 1, 3, others, car, 33.33640100305142, -18.09897771046088, 1, 4, others, car, 32.18771915879571, 0.3989803936292619, 1, 5, others, car, 25.766236425175578, -3.6457526633002475, 1, 6, agent, car, -0.3630879490935792, 0.000375796342786173, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-100, 1, others, car, 1.454942248338791, -4.220379017813345, 1, 2, others, car, 18.677541452522334, 9.266242673776198, 1, 3, others, car, 33.29210984478327, -17.79984179937813, 1, 4, others, car, 33.18907825678445, 0.44001643723841, 1, 5, others, car, 26.59167632665116, -3.61041190705725, 1, 6, agent, car, -0.17904452577659058, 0.00024039431272692997, 1, 7, others, car, -22.134670257101966, -3.105478644165467, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0, 1, others, car, 1.5189911322268534, -4.222034455119522, 1, 2, others, car, 18.688436210703486, 8.890388574098885, 1, 3, others, car, 33.25015422083583, -17.516660363512152, 1, 4, others, car, 34.20343448837867, 0.48132546078250343, 1, 5, others, car, 27.424114684683644, -3.57492416161851, 1, 6, agent, car, 0.0, 0.0, 1, 7, others, car, -21.470850514228815, -3.1375465248563126, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
