time step, id0, role0, type0, x0, y0, present0, id1, role1, type1, x1, y1, present1, id2, role2, type2, x2, y2, present2, id3, role3, type3, x3, y3, present3, id4, role4, type4, x4, y4, present4, id5, role5, type5, x5, y5, present5, id6, role6, type6, x6, y6, present6, id7, role7, type7, x7, y7, present7, id8, role8, type8, x8, y8, present8, id9, role9, type9, x9, y9, present9
-1000, 49, others, car, 30.039938042386446, -18.541480911987215, 1, 53, others, car, 23.19623984863429, 30.925663305491454, 1, 54, others, car, 26.5689025648823, 33.89013681733624, 1, 56, others, car, 22.568504503718017, 39.07531196888456, 1, 58, others, car, 39.154577254106776, 19.341491464004754, 1, 59, others, car, 30.59619361016238, 10.118778067012279, 1, 60, others, car, 19.004213804919402, -1.0283324641899088, 1, 61, others, car, 11.431110648160999, 6.273114007372878, 1, 62, others, car, 40.58752890908328, 22.7406476173023, 1, 64, agent, car, -4.366456835449567, -0.014411944921231323, 1
-900, 49, others, car, 30.244153220181182, -19.6397892298827, 1, 53, others, car, 23.21688674465509, 30.63328220883053, 1, 54, others, car, 26.59237747838607, 33.62013880172137, 1, 56, others, car, 22.581727163461757, 38.9098122369533, 1, 58, others, car, 39.1372491056901, 19.33376260429258, 1, 59, others, car, 31.67800779626025, 10.38869669689462, 1, 60, others, car, 19.321441369421045, -1.0765887831582033, 1, 61, others, car, 11.626016463272117, 6.314341707234795, 1, 62, others, car, 40.44002199252346, 22.718137407019427, 1, 64, agent, car, -3.940772474261168, -0.010830794309542813, 1
-800, 49, others, car, 30.456623093506646, -20.740302088930022, 1, 53, others, car, 23.239486450915877, 30.320996677182137, 1, 54, others, car, 26.61870278336707, 33.331329213380364, 1, 56, others, car, 22.595847404442956, 38.7454053672834, 1, 58, others, car, 39.11783287326274, 19.326833685305758, 1, 59, others, car, 32.79894736874885, 10.669487499502344, 1, 60, others, car, 19.651685640547182, -1.1346208552257504, 1, 61, others, car, 11.817039031897625, 6.354183623299355, 1, 62, others, car, 40.304360096443766, 22.697794104629978, 1, 64, agent, car, -3.514092891323537, -0.007152003185868394, 1
-700, 49, others, car, 30.676450081125786, -21.84411235139117, 1, 53, others, car, 23.26384368639267, 29.990797154044966, 1, 54, others, car, 26.64598567683881, 33.022517549540126, 1, 56, others, car, 22.608777142650695, 38.58289130060028, 1, 58, others, car, 39.09761670011016, 19.317816682308145, 1, 59, others, car, 33.95910996814013, 10.960155253086562, 1, 60, others, car, 19.993151455822847, -1.2046144049148038, 1, 61, others, car, 12.002090270026951, 6.393439696291923, 1, 62, others, car, 40.18064086135668, 22.678622488384423, 1, 64, agent, car, -3.086320446124564, -0.004370793299542097, 1
-600, 49, others, car, 30.906522207774593, -22.94993187398037, 1, 53, others, car, 23.290953672834885, 29.642781279931363, 1, 54, others, car, 26.676314242811763, 32.692903869475174, 1, 56, others, car, 22.622604462095886, 38.42147009617864, 1, 58, others, car, 39.07531244294664, 19.309599620035975, 1, 59, others, car, 35.15650515093534, 11.260504676622812, 1, 60, others, car, 20.34593645576019, -1.2875646539751504, 1, 61, others, car, 12.182263039921434, 6.431212344975149, 1, 62, others, car, 40.06777142500072, 22.661520139520327, 1, 64, agent, car, -2.6555623356773292, -0.0012966618772027316, 1
-500, 49, others, car, 31.145941892215728, -24.058853518958948, 1, 53, others, car, 23.320914050754332, 29.275953833091624, 1, 54, others, car, 26.70888854056084, 32.3404000891745, 1, 56, others, car, 22.63604121949297, 38.264029778754356, 1, 58, others, car, 39.05211060454578, 19.300289695502464, 1, 59, others, car, 36.38924011414813, 11.569345267337791, 1, 60, others, car, 20.706957334599064, -1.3827693021934466, 1, 61, others, car, 12.356562119831729, 6.4674039288370375, 1, 62, others, car, 39.96575178737567, 22.646487058037557, 1, 64, agent, car, -2.221720919470062, 0.0010751693317824773, 1
-400, 49, others, car, 31.396797218459998, -25.17167722705248, 1, 53, others, car, 23.35173437665253, 28.890119532502, 1, 54, others, car, 26.744606151323215, 31.966099070900007, 1, 56, others, car, 22.64908741484217, 38.11057034832759, 1, 58, others, car, 39.028811125632814, 19.291974992718284, 1, 59, others, car, 37.656319636028556, 11.886579384719672, 1, 60, others, car, 21.076409373363784, -1.4922187930681234, 1, 61, others, car, 12.524792228733821, 6.504004891376504, 1, 62, others, car, 39.87358672673242, 22.633425603424133, 1, 64, agent, car, -1.784698556990743, 0.0017494785778419675, 1
-300, 49, others, car, 31.658892905483174, -26.286412554762073, 1, 53, others, car, 23.386497956289393, 28.48457607794901, 1, 54, others, car, 26.783467075098937, 31.570000814651237, 1, 56, others, car, 22.661645407631386, 37.96208702664754, 1, 58, others, car, 39.005609287232076, 19.28266506818467, 1, 59, others, car, 38.95386047009159, 12.210821244971044, 1, 60, others, car, 21.45031168505643, -1.6163036886474509, 1, 61, others, car, 12.686251066414195, 6.537931926832816, 1, 62, others, car, 39.79137388358296, 22.621340553930708, 1, 64, agent, car, -1.3446905292632976, 0.0027167093601298264, 1
-200, 49, others, car, 31.93332181554693, -27.403957083325032, 1, 53, others, car, 23.424111927403718, 28.06022105066991, 1, 54, others, car, 26.82666181466145, 31.15021251744162, 1, 56, others, car, 22.674612779097806, 37.81967267597601, 1, 58, others, car, 38.981412227081876, 19.27325750313916, 1, 59, others, car, 40.280965035099435, 12.540977985830404, 1, 60, others, car, 21.829757131938432, -1.755921570168539, 1, 61, others, car, 12.840743351849133, 6.571175478705375, 1, 62, others, car, 39.717025173916255, 22.611031850282725, 1, 64, agent, car, -0.9006039740263613, 0.003079280441071558, 1
-100, 49, others, car, 32.22008394865095, -28.52431081274163, 1, 53, others, car, 23.464771571019256, 27.61506400716609, 1, 54, others, car, 26.872199926511826, 30.706538898247146, 1, 56, others, car, 22.68599908574304, 37.68313201528833, 1, 58, others, car, 38.958112748168915, 19.264942800354866, 1, 59, others, car, 41.63255958179369, 12.877556626487374, 1, 60, others, car, 22.210764827012426, -1.9114629996796029, 1, 61, others, car, 12.98936194729988, 6.602837965756596, 1, 62, others, car, 39.6496430164952, 22.601406630218623, 1, 64, agent, car, -0.4523412507679149, 0.001841970071095704, 1
0, 49, others, car, 32.52017452654492, -29.647376102499827, 1, 53, others, car, 23.508379246624237, 27.150100169186924, 1, 54, others, car, 26.923067075898338, 30.23927287860382, 1, 56, others, car, 22.696701908804254, 37.55355790684641, 1, 58, others, car, 38.93491090976806, 19.255632875821355, 1, 59, others, car, 43.006751307187464, 13.219366664168366, 1, 60, others, car, 22.59333477027853, -2.0829279771806313, 1, 61, others, car, 13.130018768755642, 6.633719328711819, 1, 62, others, car, 39.59022263306902, 22.59256253425051, 1, 64, agent, car, 0.0, 0.0, 1
