time step, x, y
100, 0.5285605436156366, -0.0019369390294452365
200, 1.0428880652318588, -0.005429861595826965
300, 1.5410950271867612, -0.009279934276938906
400, 2.02218664773107, -0.013385131236523629
500, 2.4871577086140824, -0.01784747831061237
600, 2.935013428086275, -0.022564949663150702
700, 3.363764242649282, -0.02733349362095705
800, 3.775399715801832, -0.03235716185702159
900, 4.167930284045084, -0.03743190269834251
1000, 4.542452754964975, -0.04166496023240185
1100, 4.89787032097559, -0.04594909037149136
1200.0, 5.235177763826474, -0.05038631895258183
1300.0, 5.55437508351731, -0.054976645975412075
1400.0, 5.854569524135445, -0.05862326385425942
1500.0, 6.136653841593736, -0.06242298017509629
1600.0, 6.401724843477714, -0.06548303902490549
1700.0, 6.648685722202006, -0.06869619631626334
1800.0, 6.878633285351962, -0.07116969613682
1900.0, 7.092460288840711, -0.07400034607211836
2000.0, 7.289273976755148, -0.07609133853638939
2100.0, 7.470069130844748, -0.07754469936613972
2200.0, 7.63573850702228, -0.07945723614710387
2300.0, 7.786486156960799, -0.07983938538101776
2400.0, 7.923102810736388, -0.08078273640261735
2500.0, 8.046583250098523, -0.0823893150484093
2600.0, 8.158126308469331, -0.08277158365613779
2700.0, 8.257629960012396, -0.08292432397551763
2800.0, 8.346088986476857, -0.08294956184302071
2900.0, 8.424498169612123, -0.08294932309468983
3000.0, 8.888091822015422, -0.08123892800029486
