time step, x, y
100, 0.559329615629021, 0.0006173170385429111
200, 1.1047161495669766, 0.002495773623907599
300, 1.635979439021343, 0.0036435009433729015
400, 2.153299646784891, 0.006052367809865927
500, 2.655680838450802, 0.009812455619632982
600, 3.142942851226645, 0.012931895559716189
700, 3.616261782311669, 0.017312475046827147
800, 4.073555681496361, 0.022138422466948637
900, 4.515820483187202, 0.0273196564238653
1000, 4.942150334374019, 0.033942192720034736
1100, 5.351369137857831, 0.04010424393917783
1200, 5.743566975034924, 0.04680174448731045
1300, 6.117747911498955, 0.054124775760864274
1400, 6.472916012842878, 0.062163419156106015
1500, 6.807985263264563, 0.07001182166272102
1600, 7.122955662763674, 0.07766998328074015
1700, 7.414839408120772, 0.08540814819880993
1800, 7.684632433742427, 0.09313623502047819
1900, 7.9323347396285495, 0.1008542437459814
2000, 8.154958522559701, 0.10883241856396653
2100, 8.355401504359103, 0.11580458087930778
2200, 8.531671816213779, 0.12195089348420984
2300, 8.685761326936928, 0.1270911935864476
2400, 8.817760117924433, 0.13222141559253064
2500, 8.928664123582973, 0.1372514781059967
2600, 9.021371065735794, 0.14091520253194656
2700, 9.094885009976437, 0.14330267026682209
2800, 9.15237392231682, 0.14613550593424518
2900, 9.195649508777532, 0.14724167792950604
3000, 9.259114027557015, 0.14953402521961545
