time step, x, y
100, 0.4314152331553704, 0.0017019405208304923
200, 0.8527940025288385, 0.0039229135616804175
300, 1.2610917818869605, 0.007517822633445824
400, 1.6574033825911454, 0.010536952863507823
500, 2.0396351450586185, 0.014882037554238725
600, 2.407883032429858, 0.0185553802632491
700, 2.7620510815643904, 0.023554677432814836
800, 3.10323410382394, 0.02793021419090118
900, 3.4313841176380553, 0.03268083875840802
1000, 3.7475479527980973, 0.0368556844846602
1100, 4.051677627734189, 0.0414535995904714
1200, 4.345818820458505, 0.045571698995045096
1300, 4.630970379192305, 0.049257964268508814
1400, 4.908083170586613, 0.05355922520201456
1500, 5.179250854224177, 0.056573748493757764
1600, 5.443378618743384, 0.060251249015892155
1700, 5.703510990377908, 0.06373682325741914
1800, 5.9596479691277455, 0.06703047121845218
1900, 6.212788403214153, 0.0701801744691189
2000, 6.4639311408581595, 0.07323391457953587
2100, 6.712077333838736, 0.07614370997958653
2200, 6.9592246785980505, 0.07900552380962322
2300, 7.204374326915088, 0.08177137449918848
2400, 7.4485251270109725, 0.08448924361885879
2500, 7.690678230664467, 0.08711114959805233
2600, 7.932879315888078, 0.08873420735621596
2700, 8.173034723099276, 0.09126015019539235
2800, 8.412239263659457, 0.0927392632431897
2900, 8.651443804219639, 0.094218376290987
3000, 11.21301428275017, 0.10213566880216718
