time step, x, y
100, 0.6503633960779861, -0.0027300260001274224
200, 1.2803415506996907, -0.006124830742926857
300, 1.8897704124449317, -0.01117086601735906
400, 2.477827580945248, -0.016717628613757973
500, 3.043690655832945, -0.021614615323391873
600, 3.5888403864230805, -0.029149284352890548
700, 4.112782475189165, -0.036198228916086594
800, 4.616339322499192, -0.04391195222199207
900, 5.097538024775707, -0.051962351429514
1000, 5.5583514855961464, -0.060677529379857376
1100, 5.998615653539786, -0.07104393786177765
1200, 6.4176721796592995, -0.08092462187715221
1300, 6.814370560745432, -0.09114198179404975
1400, 7.190683700375489, -0.10202412045376885
1500, 7.5454610953401025, -0.11439343822435943
1600, 7.879030848480552, -0.12627703152862857
1700, 8.192215360164852, -0.13882540357547657
1800, 8.483205778236421, -0.15072399973554051
1900, 8.754797406640519, -0.16345142605866414
2000, 9.006331896429707, -0.17487072754739774
2100, 9.239454048340143, -0.18728291062013946
2200, 9.455478417001826, -0.19887912311995248
2300, 9.655391454203246, -0.2098234164677486
2400, 9.839193159944557, -0.22011579066332154
2500, 10.009842889591852, -0.23024839996846946
2600, 10.168327094933662, -0.24038529580387968
2700, 10.31497387881131, -0.24855357459213434
2800, 10.451428041960703, -0.2570542427517064
2900, 10.576867184014112, -0.2647367970733967
3000, 11.401016576116572, -0.3136017077679778
