time step, x, y
100, 0.062007955299214254, 0.00011610173251250635
200, 0.1210163965853735, 0.0001782063812063874
300, 0.17702532385825856, 0.00018631394562287733
400, 0.22903489911385605, 0.0001224253979801304
500, 0.2770451223515935, -1.3459261504747064e-05
600, 0.32105599357216125, -0.0002213400332741521
700, 0.3610675127752099, -0.0005012169168795494
800, 0.39607984195628376, -0.0008710889407929799
900, 0.42609298111549243, -0.0013309561047850603
1000, 0.45110693025283183, -0.0018808184086284516
1100, 0.47312136537712435, -0.002484677796745143
1200, 0.49111844945588456, -0.002160695292461186
1300, 0.5071338565537302, -0.002872548848448604
1400, 0.5231312646237898, -0.0025845644001952876
1500, 0.5401465097261035, -0.003278418928392675
1600, 0.5611431078180283, -0.002900439340060708
1700, 0.587156894959722, -0.003432302616116118
1800, 0.6211693861365551, -0.003820173667815485
1900, 0.6651802573568955, -0.004028054439588983
2000, 0.7221890226342405, -0.0040019478469277905
2100, 0.7931955199728349, -0.0037238548622733035
2200, 0.8802354234374058, -0.005157453438068171
2300, 0.9852544119527197, -0.0052672315051151
2400, 1.1082884835748112, -0.006052865072342047
2500, 1.2493376383036763, -0.00751435413952168
2600, 1.4104015521477922, -0.009615700650854788
2700, 1.590462388075246, -0.011375065629884516
2800, 1.788556306137379, -0.014810124113446628
2900, 2.004647308278386, -0.017921200092722737
3000, 5.164745585153514, -0.10605678025320259
