time step, x, y
100, 0.41830566064880476, 0.000611775500072043
200, 0.82561876729039, 0.0016282192626034288
300, 1.2209032088096077, 0.002086796219557867
400, 1.6041957732302996, 0.002986829462573816
500, 1.9764589956200396, 0.003292207876292849
600, 2.335731017819619, 0.00407583060002896
700, 2.682011839829254, 0.005337697633432947
800, 3.017263319807827, 0.006004909837657807
900, 3.339486811572508, 0.006151043260143471
1000, 3.650717749330188, 0.006701844944852903
1100, 3.9489206988739833, 0.006731567848050374
1200, 4.236131094410552, 0.007165959013479939
1300, 4.512312147916277, 0.007005695349494828
1400, 4.776501324323476, 0.0072868879715711765
1500, 5.031696592906725, 0.007899172808195798
1600, 5.274899984391448, 0.008952913930881962
1700, 5.509072680028268, 0.009338424176595639
1800, 5.7322528216581965, 0.010128602684415317
1900, 5.94444040928102, 0.011323449454690104
2000, 6.146597977964526, 0.01188685337171247
2100, 6.338762315732432, 0.012818137526897755
2200, 6.519934099493462, 0.014154089944529824
2300, 6.689114006155851, 0.015931498648227654
2400, 6.847264570787398, 0.017114252522510753
2500, 6.99442258141183, 0.018701674659021783
2600, 7.129551926914016, 0.019731229990178845
2700, 7.254688041500614, 0.021128665559726145
2800, 7.367832278988564, 0.022967557415111917
2900, 7.469947174445683, 0.024211794441423795
3000, 8.0635758324015, 0.030377542868489593
